year,country,wine_type,activity_type,quantity
2009,Hungary,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2009,Hungary,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2009,Hungary,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),20.8
2010,Hungary,Vermouth,Official production (1000 hl),0
2010,Hungary,Vermouth,Most intended for the production of grape juice (1000 hl),0
2010,Hungary,Vermouth,Usable production (1000 hl),0
2010,Hungary,Vermouth,Total production other than for vinification (1000 hl),0
2010,Hungary,Vermouth,Losses from evaporation (1000 hl),0
2010,Hungary,Vermouth,Imports from EU (1000 t),0
2010,Hungary,Vermouth,Imports from third countries (1000 hl),0
2010,Hungary,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2010,Hungary,Vermouth,Gross human consumption (1000 hl),0
2010,Hungary,Vermouth,Degree of self-sufficiency (%),0
2010,Hungary,Vermouth,Vinegar manufacture (1000 hl),0
2010,Hungary,Vermouth,Imports0 bottled (1000 hl),0
2010,Hungary,Vermouth,Exports0 bottled (1000 hl),0
2010,Hungary,Wine - Total,Official production (1000 hl),3343.7
2010,Hungary,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2010,Hungary,Wine - Total,Usable production (1000 hl),3343.7
2010,Hungary,Wine - Total,Total production other than for vinification (1000 hl),0
2010,Hungary,Wine - Total,Losses from evaporation (1000 hl),0
2010,Hungary,Wine - Total,Imports from EU (1000 t),0
2010,Hungary,Wine - Total,Imports from third countries (1000 hl),0.4
2010,Hungary,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),849.1
2010,Hungary,Wine - Total,Gross human consumption (1000 hl),2382.5
2010,Hungary,Wine - Total,Degree of self-sufficiency (%),132089
2010,Hungary,Wine - Total,Vinegar manufacture (1000 hl),0
2010,Hungary,Wine - Total,Imports0 bottled (1000 hl),0.4
2010,Hungary,Wine - Total,Exports0 bottled (1000 hl),36.7
2010,Hungary,Red and rose wine,Official production (1000 hl),0
2010,Hungary,Red and rose wine,Most intended for the production of grape juice (1000 hl),0
2010,Hungary,Red and rose wine,Usable production (1000 hl),0
2010,Hungary,Red and rose wine,Total production other than for vinification (1000 hl),0
2010,Hungary,Red and rose wine,Losses from evaporation (1000 hl),0
2010,Hungary,Red and rose wine,Imports from EU (1000 t),0
2010,Hungary,Red and rose wine,Imports from third countries (1000 hl),0
2010,Hungary,Red and rose wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2010,Hungary,Red and rose wine,Gross human consumption (1000 hl),0
2010,Hungary,Red and rose wine,Degree of self-sufficiency (%),-4089
2010,Hungary,Red and rose wine,Vinegar manufacture (1000 hl),0
2010,Hungary,Red and rose wine,Imports0 bottled (1000 hl),0
2010,Hungary,Red and rose wine,Exports0 bottled (1000 hl),0
2010,Hungary,White wine,Official production (1000 hl),2173.4
2010,Hungary,White wine,Most intended for the production of grape juice (1000 hl),0
2010,Hungary,White wine,Usable production (1000 hl),2173.4
2010,Hungary,White wine,Total production other than for vinification (1000 hl),0
2010,Hungary,White wine,Losses from evaporation (1000 hl),0
2010,Hungary,White wine,Imports from EU (1000 t),0
2010,Hungary,White wine,Imports from third countries (1000 hl),0.1
2010,Hungary,White wine,Total exports (for EUR 0 Exports to third countries) (1000 hl),644.5
2010,Hungary,White wine,Gross human consumption (1000 hl),1499.3
2010,Hungary,White wine,Degree of self-sufficiency (%),136178
2010,Hungary,White wine,Vinegar manufacture (1000 hl),0
2010,Hungary,White wine,Imports0 bottled (1000 hl),0.1
2010,Hungary,White wine,Exports0 bottled (1000 hl),24.6
2010,Hungary,Quality wines P.S.R. - Total,Official production (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Most intended for the production of grape juice (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Usable production (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Total production other than for vinification (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Losses from evaporation (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Imports from EU (1000 t),0
2010,Hungary,Quality wines P.S.R. - Total,Imports from third countries (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Gross human consumption (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Degree of self-sufficiency (%),0
2010,Hungary,Quality wines P.S.R. - Total,Vinegar manufacture (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Imports0 bottled (1000 hl),0
2010,Hungary,Quality wines P.S.R. - Total,Exports0 bottled (1000 hl),0
2011,Hungary,Vermouth,Official production (1000 hl),0
2011,Hungary,Vermouth,Most intended for the production of grape juice (1000 hl),0
2011,Hungary,Vermouth,Usable production (1000 hl),0
2011,Hungary,Vermouth,Total production other than for vinification (1000 hl),0
2011,Hungary,Vermouth,Losses from evaporation (1000 hl),0
2011,Hungary,Vermouth,Imports from EU (1000 t),0
2011,Hungary,Vermouth,Imports from third countries (1000 hl),0
2011,Hungary,Vermouth,Total exports (for EUR 0 Exports to third countries) (1000 hl),0
2011,Hungary,Vermouth,Gross human consumption (1000 hl),0
2011,Hungary,Vermouth,Degree of self-sufficiency (%),0
2011,Hungary,Vermouth,Vinegar manufacture (1000 hl),0
2011,Hungary,Vermouth,Imports0 bottled (1000 hl),0
2011,Hungary,Vermouth,Exports0 bottled (1000 hl),0
2011,Hungary,Wine - Total,Official production (1000 hl),0
2011,Hungary,Wine - Total,Most intended for the production of grape juice (1000 hl),0
2011,Hungary,Wine - Total,Usable production (1000 hl),1761.7
2011,Hungary,Wine - Total,Total production other than for vinification (1000 hl),0
2011,Hungary,Wine - Total,Losses from evaporation (1000 hl),0
2011,Hungary,Wine - Total,Imports from EU (1000 t),0
2011,Hungary,Wine - Total,Imports from third countries (1000 hl),2.1
2011,Hungary,Wine - Total,Total exports (for EUR 0 Exports to third countries) (1000 hl),829.2
2011,Hungary,Wine - Total,Gross human consumption (1000 hl),2568.5
2011,Hungary,Wine - Total,Degree of self-sufficiency (%),0
