"approval_code","business_name","location","prefecture_name_gr","region_name_gr","activity","latitude","longitude"
"GR-198","ΜΕΛ. & ΑΝΑΣΤ. ΤΟΥΜΠΑΝΙΑΡΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-206","ΒΑΣΙΛΕΙΟΥ ΜΑΝΩΛΗ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-209","ΜΕΛΕΤΙΟΣ ΚΑΚΑΡΙΚΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-210","ΑΠ. & ΚΩΝ. ΣΤΑΥΡΑΚΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-211","Ι. ΤΣΙΓΚΡΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-212","ΜΙΧΑΗΛ ΣΜΥΡΝΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-238","Ι. & Π. ΧΑΤΖΟΠΟΥΛΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-239","ΧΡΗΣΤΟΣ ΜΑΡΚΑΚΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-240","ΓΕΩΡΓΙΟΣ ΜΟΥΡΤΖΟΥΚΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-243","ΒΑΣ. & ΚΩΝ. ΣΑΚΕΛΛΑΡΙΟΥ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-244","ΔΗΜ. ΠΑΠΑΒΑΣΙΛΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-246","ΠΕΡΙΚΛΗΣ ΜΠΕΝΑΡΔΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-247","ΝΙΚΟΛΑΟΣ ΠΑΠΑΓΙΑΝΝΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-21","ΠΕΠΑΜ ΟΕ ΑΦΟΙ ΠΑΝΤΑΖΗ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",38.001752,23.342347
"GR-248","ΣΩΤΗΡΙΟΣ & ΣΠΥΡΟΣ ΚΑΡΑΓΙΩΡΓΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-249","ΣΩΤ. ΚΑΛΛΙΠΕΤΣΗΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
"GR-250","ΠΑΝΑΓΙΩΤΗΣ ΜΩΛΟΣ","Μέγαρα","Δυτικής Αττικής","Αττικής","EPC",37.9952543,23.3417858
